id,Patient Name,Patient's Last Name,Patient Gender,Patient Race,Patient Ethnicity,Patient's Personal Phone Number,Patient's Personal Email,Patient's Country of Birth,Patient's Date of Birth,Patient's Date of Death,Patient Admission Date,Date the patient's case was or will be closed,Full name of the Patient's Legal Guardian,Patient's Legal Guardian Phone Number,Dirección postal actual del Paciente,Relationship of the Legal Guardian with the Patient,Current postal address of the Legal Guardian,Full Name of Patient's Emergency Contact,Patient Emergency Contact Phone Number,Relationship of Emergency Contact to Patient,Current mailing address of the Emergency Contact,Patient MH Case Number,Patient Social Security,Patient's date of arrival in the US,Primary location where client was raised,Patient's highest level of education completed,Marital Status of the patient,Duration of Marriage (months),Duration of Cohabitation (months),Duration of Separation (months),Duration of Divorce (months),Duration of Widowhood (months),Profile Photo,Business,Created,Updated
27,AMANDA,CABANILLAS,Femenino,Hispano,Hispano/Latino,,lorena54@arce-baez.es,Cuba,1963-06-19,,2025-01-06,,CRISTINA QUEVEDO PAZOS,,,Vecino,"Callejón Narcisa Pujadas 55, Lugo, 86825, Miami, FL",CUSTODIA VALENCIA CAPDEVILA,,Vecino,"Pasaje de Eufemia Báez 77, Guipúzcoa, 53060, Miami, FL",MH-2025-00000027,681623565,1977-05-26,Cuba,Ninguno,Divorciado,,,,168,,,,2025-02-21 17:32:59.428400+00:00,2025-02-21 17:32:59.428420+00:00
33,ANGÉLICA,SÁNCHEZ,Femenino,Hispano,Hispano/Latino,,aroa88@yahoo.com,Cuba,1961-01-30,,2025-01-06,,ENCARNITA COLL-CAPDEVILA,,,Hijo,"Calle de Pilar Medina 860 Piso 7 , Guipúzcoa, 73037, Miami, FL",TONI ABILIO REVILLA VALENCIA,,Amigo,"Camino Paz Aramburu 31, Castellón, 51208, Miami, FL",MH-2025-00000033,909933538,1965-04-27,Cuba,Asociado (Carrera técnica),Casado,281,,,,,,,2025-02-21 17:32:59.926940+00:00,2025-02-21 17:32:59.926960+00:00
38,ARMANDO ABRAHAM,PLANAS VERDECIA,Masculino,Hispano,Hispano/Latino,,,Cuba,1955-01-12,,2025-02-27,,,,,,,,,,,MH-2025-00000038,123123123,2023-01-02,Cuba,Maestría,Casado,46,,,,,https://miprueba.notefy.space/media/Images/Profile_Photos/MI%20PRUEBA/MP_ARMANDO_ABRAHAM_PLANAS_VERDECIA_20250227002948.jpg,"[{""x"": [151, 148, 150, 160, 173, 183, 184, 184, 181, 177, 172, 164, 153, 143, 137, 136, 137, 143, 151, 160, 171, 185, 197, 204, 207, 207, 207, 207, 206, 203, 200, 194, 186, 183, 183, 184, 189, 195, 199, 203, 206], ""y"": [157, 154, 145, 128, 104, 84, 70, 61, 52, 45, 40, 40, 47, 63, 79, 94, 107, 118, 126, 127, 124, 110, 94, 79, 66, 54, 45, 37, 31, 28, 31, 47, 72, 100, 125, 146, 165, 182, 197, 206, 210]}, {""x"": [159, 172, 190, 215, 245, 272, 292, 304, 312, 316], ""y"": [166, 154, 141, 123, 106, 95, 89, 87, 86, 85]}, {""x"": [209, 214, 220, 229, 243, 260, 273, 279, 280, 275, 266, 253, 238, 224, 216, 214, 219, 235, 256, 277, 293, 300, 302, 297, 281, 258, 233, 209, 190, 183, 183, 195, 219, 249, 279, 301, 314, 316, 305, 282, 255, 230, 212, 202, 202], ""y"": [141, 134, 126, 115, 98, 76, 53, 33, 23, 21, 21, 30, 46, 67, 88, 101, 103, 100, 89, 78, 74, 76, 88, 104, 122, 138, 153, 163, 166, 166, 159, 148, 132, 111, 85, 59, 34, 15, 11, 18, 35, 58, 86, 112, 135]}]",2025-02-27 00:29:47.996572+00:00,2025-02-27 00:29:47.996591+00:00
32,CARMELA,NIÑO,Femenino,Hispano,Hispano/Latino,,juliecampillo@escolano.com,Cuba,1954-12-27,,2025-01-06,,BAUTISTA MENÉNDEZ ECHEVARRÍA,,,Otro,"C. de Cristina Romero 2, Cádiz, 98663, Miami, FL",GALO RIQUELME,,Padre,"Pasadizo de Luisina Gonzalo 39 Apt. 80 , Burgos, 47957, Miami, FL",MH-2025-00000032,044647867,1988-04-16,Cuba,Doctorado,Soltero,,,,,,,,2025-02-21 17:32:59.827246+00:00,2025-02-21 17:32:59.827263+00:00
35,EFRAÍN,LASA,Masculino,Hispano,Hispano/Latino,,lilianasolano@garriga-roman.es,Cuba,1946-10-21,,2025-01-06,,ELISABET VIDAL CABEZAS,,,Vecino,"Urbanización de Olga Montserrat 104 Apt. 57 , Cáceres, 37956, Miami, FL",PILI AGUILÓ PUERTA,,Profesor,"Camino Leonardo Aguilar 24, Baleares, 29032, Miami, FL",MH-2025-00000035,810230944,1977-01-31,Cuba,Postdoctorado,Cohabitando,,514,,,,,,2025-02-21 17:33:00.214377+00:00,2025-02-21 17:33:00.214397+00:00
34,ESTEBAN,MENENDEZ,Femenino,Hispano,Hispano/Latino,,vlobo@lastra-escamilla.es,Cuba,1962-08-13,,2025-01-06,,IRMA CAÑIZARES FOLCH,,,Amigo,"Urbanización de Herberto Villena 4 Apt. 43 , Soria, 70786, Miami, FL",HORTENSIA ENCARNA GÁLVEZ BARRANCO,,Hermano,"Ronda Estela Ocaña 97 Apt. 03 , Guipúzcoa, 62069, Miami, FL",MH-2025-00000034,842880647,1988-03-29,Cuba,Doctorado,Divorciado,,,,154,,,,2025-02-21 17:33:00.095990+00:00,2025-02-21 17:33:00.096013+00:00
29,GRACIELA,HOYOS,Femenino,Hispano,Hispano/Latino,,isabel60@rueda.com,Cuba,1960-06-13,,2025-01-06,,ISMAEL CASTEJÓN ARAGÓN,,,Vecino,"Paseo Concha Planas 684, Santa Cruz de Tenerife, 73451, Miami, FL",MARICRUZ MARTIRIO AGUILERA CABO,,Esposo,"Paseo Iván Montesinos 24 Apt. 15 , Segovia, 32949, Miami, FL",MH-2025-00000029,007263419,2004-03-30,Cuba,Postdoctorado,Casado,272,,,,,,,2025-02-21 17:32:59.575121+00:00,2025-02-21 17:32:59.575140+00:00
28,IRIS,CÓRDOBA,Femenino,Hispano,Hispano/Latino,,florentinaaragon@yahoo.com,Cuba,1941-03-16,,2025-01-06,,NICOLÁS DEL VALL,,,Hijo,"Avenida Jaime Benet 6 Piso 1 , Ciudad, 74011, Miami, FL",SOCORRO CERDÁ SUÁREZ,,Amigo,"Paseo Paulino Peñalver 52 Puerta 9 , Málaga, 99676, Miami, FL",MH-2025-00000028,175991702,1964-03-15,Cuba,Ninguno,Viudo,,,,,39,,,2025-02-21 17:32:59.499177+00:00,2025-02-27 02:50:34.755038+00:00
30,JAVI,OLIVERA,Femenino,Hispano,Hispano/Latino,,brigidagisbert@martin-arana.com,Cuba,1946-06-18,,2025-01-06,,VICENTA ALMEIDA,,,Madre,"Avenida Eugenia Raya 81 Apt. 11 , Melilla, 81663, Miami, FL",JOSUÉ SOTELO ACUÑA,,Esposo,"Rambla de Ruperto Peralta 97 Apt. 02 , Sevilla, 23836, Miami, FL",MH-2025-00000030,884887832,1956-07-13,Cuba,Maestría,Apartado,,,88,,,,,2025-02-21 17:32:59.686852+00:00,2025-02-21 17:32:59.686871+00:00
36,JULIO,LAMAS,Femenino,Hispano,Hispano/Latino,,serranoadolfo@hotmail.com,Cuba,1941-06-08,,2025-01-06,,ÍNGRID DIÉGUEZ,,,Bisnieto,"Vial de Heliodoro Paz 6 Piso 8 , Álava, 44163, Miami, FL",ANASTASIO DE GUTIÉRREZ,,Madre,"Cañada de Adolfo Hervás 35 Apt. 07 , Segovia, 53647, Miami, FL",MH-2025-00000036,153278685,2011-03-12,Cuba,Asociado (Carrera técnica),Viudo,,,,,257,,,2025-02-21 17:33:00.327308+00:00,2025-02-21 17:33:00.327395+00:00
